kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Aceh Utara,Aceh,14.9,0.08,16.11,50.9,46.59,9.11,97.18180452464765,5.015804394192149,1111,Kemiskinan,0.19497359396932998,0.23824132490679256,0.21980534418942513,0.1892665034231621,0.15771323351129032,15.973688563880321,-1.0736885638803209,-0.027216895924951804,37.8528002064443,199,Sedang
Gayo Lues,Aceh,14.8,0.41,18.3,78.0,53.98,8.44,97.3600690802808,3.982731591441018,1113,RLS,0.22802414426464887,0.16528527677652752,0.14515487163939642,0.2299102841522046,0.2316254231672226,11.537764771620738,3.2622352283792626,0.22202358536955455,44.07799940195541,136,Sedang
Aceh Tamiang,Aceh,22.7,0.25,12.17,60.5,53.82,9.3,97.98300459846512,4.224537757444703,1114,RLS,0.08644073030505987,0.1770459497484224,0.25482848549445425,0.21710195472946317,0.2645828797226003,22.804469479269326,-0.10446947926932637,0.3809317987021149,48.046998645818476,100,Tinggi
Nagan Raya,Aceh,24.9,0.07,16.94,91.1,85.75,9.25,96.50769037366469,4.164313984119018,1115,RLS,0.19584306618673486,0.1996430867633752,0.12360087414247745,0.23419435056411833,0.24671862234329434,22.803560306407963,2.0964396935920355,0.13964937972746436,42.0205654087668,158,Tinggi
Aceh Jaya,Aceh,23.3,0.0,12.25,68.6,57.57,9.02,95.6780519211837,4.832514527082648,1116,RLS,0.1628647319367638,0.20773892519614923,0.18546738907422539,0.21455051722471605,0.22937843656814558,22.148155705837745,1.151844294162256,0.2403611779038587,44.536011542275716,127,Tinggi
Bener Meriah,Aceh,22.1,0.17,18.18,77.3,62.4,10.13,97.00410824156492,4.770070482451579,1117,Kemiskinan,0.2075549700205553,0.2180768098401882,0.2162139389362477,0.1628606766675661,0.19529360453544273,29.62308631321407,-7.523086313214069,0.2826848122861694,45.593115321483005,121,Tinggi
Pidie Jaya,Aceh,26.6,0.03,18.28,62.3,52.72,9.59,96.21332526545662,5.124764231658529,1118,Kemiskinan,0.19474636552838442,0.22722619738352978,0.2260883094208267,0.1537285978541023,0.19821052981315695,22.33360367765452,4.266396322345482,0.7059857500548522,56.16576645572228,49,Tinggi
Kota Banda Aceh,Aceh,19.8,0.01,6.95,62.4,55.97,13.1,95.32771386540992,5.55870554716411,1171,RLS,0.21542046011110333,0.15871209472678932,0.1946795704827815,0.20841798476517684,0.22276988991414895,22.974552826660002,-3.174552826660001,-0.5882949607993314,23.838934160552082,328,Sedang
Kota Sabang,Aceh,19.6,0.0,14.58,63.8,52.52,11.22,95.3057189666672,5.837763895828338,1172,RLS,0.17816883108894255,0.17436028717938304,0.17050701494606865,0.23829718388309312,0.23866668290251264,22.37518395848408,-2.775183958484078,-0.10372644557355318,35.94184583640117,227,Sedang
Kota Langsa,Aceh,11.4,0.26,10.33,59.6,50.83,11.28,97.98059638307292,4.481821686792353,1173,RLS,0.20673491120139298,0.18364922971177186,0.20565519043125796,0.191923450487884,0.2120372181676932,8.618152071640624,2.781847928359376,-0.6419586964984777,22.498592324557524,339,Sedang
Kota Lhokseumawe,Aceh,17.4,0.05,10.44,61.4,60.25,11.31,97.11119759405176,5.16527063738672,1174,RLS,0.22383186596472454,0.18238328570968756,0.1787937540196007,0.18305985720934048,0.23193123709664668,21.345324629023718,-3.9453246290237196,-0.4851038276310779,26.41630584530597,310,Sedang
Kota Subulussalam,Aceh,19.8,0.3,16.38,54.5,41.8,8.43,97.9360159238399,2.730755927641524,1175,RLS,0.18943571647155627,0.17884589518259408,0.19151789108421213,0.2165323733127359,0.2236681239489016,18.692597576006083,1.1074024239939178,0.6108852977735898,53.79047310064918,64,Sedang
Mandailing Natal,Sumatera Utara,17.3,0.23,8.69,60.9,36.96,9.11,99.36866501499044,0.7764157780174888,1202,RLS,0.20566011186768338,0.1859945270222566,0.19588724218452774,0.19930329861851379,0.21315482030701854,21.876955513401533,-4.576955513401533,0.12348113086534701,41.61673626637983,162,Sedang
