id,province_id,name,alt_name,latitude,longitude,province_name,display_name,is_kota_flag,name_norm
3322,33,KABUPATEN SEMARANG,KABUPATEN SEMARANG,-7.20667,110.44139,Jawa Tengah,Semarang,False,SEMARANG
3502,35,KABUPATEN PONOROGO,KABUPATEN PONOROGO,-7.93333,111.5,Jawa Timur,Ponorogo,False,PONOROGO
3513,35,KABUPATEN PROBOLINGGO,KABUPATEN PROBOLINGGO,-7.86667,113.31667,Jawa Timur,Probolinggo,False,PROBOLINGGO
3515,35,KABUPATEN SIDOARJO,KABUPATEN SIDOARJO,-7.45,112.7,Jawa Timur,Sidoarjo,False,SIDOARJO
3528,35,KABUPATEN PAMEKASAN,KABUPATEN PAMEKASAN,-7.06667,113.5,Jawa Timur,Pamekasan,False,PAMEKASAN
3574,35,KOTA PROBOLINGGO,KOTA PROBOLINGGO,-7.78333,113.21667,Jawa Timur,Kota Probolinggo,True,PROBOLINGGO
3576,35,KOTA MOJOKERTO,KOTA MOJOKERTO,-7.46667,112.43333,Jawa Timur,Kota Mojokerto,True,MOJOKERTO
3578,35,KOTA SURABAYA,KOTA SURABAYA,-7.26667,112.71667,Jawa Timur,Kota Surabaya,True,SURABAYA
5171,51,KOTA DENPASAR,KOTA DENPASAR,-8.66667,115.21663,Bali,Kota Denpasar,True,DENPASAR
5201,52,KABUPATEN LOMBOK BARAT,KABUPATEN LOMBOK BARAT,-8.69583,116.11667,Nusa Tenggara Barat,Lombok Barat,False,LOMBOK BARAT
5202,52,KABUPATEN LOMBOK TENGAH,KABUPATEN LOMBOK TENGAH,-8.7,116.3,Nusa Tenggara Barat,Lombok Tengah,False,LOMBOK TENGAH
5206,52,KABUPATEN BIMA,KABUPATEN BIMA,-8.6,118.61667,Nusa Tenggara Barat,Bima,False,BIMA
5207,52,KABUPATEN SUMBAWA BARAT,KABUPATEN SUMBAWA BARAT,-8.75159,116.92132,Nusa Tenggara Barat,Sumbawa Barat,False,SUMBAWA BARAT
5321,53,KABUPATEN MALAKA,KABUPATEN MALAKA,-9.5632,124.89481,Nusa Tenggara Timur,Malaka,False,MALAKA
6108,61,KABUPATEN KAPUAS HULU,KABUPATEN KAPUAS HULU,0.81667,112.76667,Kalimantan Barat,Kapuas Hulu,False,KAPUAS HULU
6110,61,KABUPATEN MELAWI,KABUPATEN MELAWI,-0.33617,111.698,Kalimantan Barat,Melawi,False,MELAWI
